failed to get console mode for stdout: The handle is invalid.
[2J[HCONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
ea40d082c391   proof-of-training-quality-node1-1    0.00%     65.02MiB / 7.702GiB   0.82%     2.08MB / 2.09MB   0B / 0B     7
[2J[HCONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
778643d548d0   proof-of-training-quality-node10-1   0.00%     83.15MiB / 7.702GiB   1.05%     2.08MB / 2.08MB   0B / 0B     7
c95b581408cb   proof-of-training-quality-node9-1    0.00%     83.72MiB / 7.702GiB   1.06%     2.08MB / 2.07MB   0B / 0B     7
61c855158cf8   proof-of-training-quality-node8-1    0.00%     83.38MiB / 7.702GiB   1.06%     2.08MB / 2.08MB   0B / 0B     7
fb49d769878d   proof-of-training-quality-node7-1    0.00%     85.48MiB / 7.702GiB   1.08%     2.08MB / 2.07MB   0B / 0B     7
fab3efc9cdd1   proof-of-training-quality-node6-1    0.00%     85.33MiB / 7.702GiB   1.08%     2.07MB / 2.07MB   0B / 0B     7
a121a0f49f45   proof-of-training-quality-node5-1    0.01%     66.36MiB / 7.702GiB   0.84%     2.08MB / 2.07MB   0B / 0B     7
0777b920b400   proof-of-training-quality-node4-1    0.02%     65.07MiB / 7.702GiB   0.83%     2.08MB / 2.08MB   0B / 0B     7
73f7f18c2b87   proof-of-training-quality-node3-1    0.00%     64.15MiB / 7.702GiB   0.81%     2.08MB / 2.07MB   0B / 0B     7
c1fba683b611   proof-of-training-quality-node2-1    0.00%     65.7MiB / 7.702GiB    0.83%     2.08MB / 2.08MB   0B / 0B     7
ea40d082c391   proof-of-training-quality-node1-1    0.00%     65.02MiB / 7.702GiB   0.82%     2.08MB / 2.09MB   0B / 0B     7
[2J[HCONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
778643d548d0   proof-of-training-quality-node10-1   0.00%     83.15MiB / 7.702GiB   1.05%     2.08MB / 2.08MB   0B / 0B     7
c95b581408cb   proof-of-training-quality-node9-1    0.00%     83.72MiB / 7.702GiB   1.06%     2.08MB / 2.07MB   0B / 0B     7
61c855158cf8   proof-of-training-quality-node8-1    0.00%     83.38MiB / 7.702GiB   1.06%     2.08MB / 2.08MB   0B / 0B     7
fb49d769878d   proof-of-training-quality-node7-1    0.00%     85.48MiB / 7.702GiB   1.08%     2.08MB / 2.07MB   0B / 0B     7
fab3efc9cdd1   proof-of-training-quality-node6-1    0.02%     85.33MiB / 7.702GiB   1.08%     2.07MB / 2.07MB   0B / 0B     7
a121a0f49f45   proof-of-training-quality-node5-1    0.00%     66.36MiB / 7.702GiB   0.84%     2.08MB / 2.07MB   0B / 0B     7
0777b920b400   proof-of-training-quality-node4-1    0.00%     65.07MiB / 7.702GiB   0.83%     2.08MB / 2.08MB   0B / 0B     7
73f7f18c2b87   proof-of-training-quality-node3-1    0.00%     64.15MiB / 7.702GiB   0.81%     2.08MB / 2.07MB   0B / 0B     7
c1fba683b611   proof-of-training-quality-node2-1    0.00%     65.7MiB / 7.702GiB    0.83%     2.08MB / 2.08MB   0B / 0B     7
ea40d082c391   proof-of-training-quality-node1-1    0.00%     65.02MiB / 7.702GiB   0.82%     2.08MB / 2.09MB   0B / 0B     7
[2J[HCONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
778643d548d0   proof-of-training-quality-node10-1   0.00%     83.15MiB / 7.702GiB   1.05%     2.08MB / 2.08MB   0B / 0B     7
c95b581408cb   proof-of-training-quality-node9-1    0.00%     83.72MiB / 7.702GiB   1.06%     2.08MB / 2.07MB   0B / 0B     7
61c855158cf8   proof-of-training-quality-node8-1    0.00%     83.38MiB / 7.702GiB   1.06%     2.08MB / 2.08MB   0B / 0B     7
fb49d769878d   proof-of-training-quality-node7-1    0.00%     85.48MiB / 7.702GiB   1.08%     2.08MB / 2.07MB   0B / 0B     7
fab3efc9cdd1   proof-of-training-quality-node6-1    0.02%     85.33MiB / 7.702GiB   1.08%     2.07MB / 2.07MB   0B / 0B     7
a121a0f49f45   proof-of-training-quality-node5-1    0.00%     66.36MiB / 7.702GiB   0.84%     2.08MB / 2.07MB   0B / 0B     7
0777b920b400   proof-of-training-quality-node4-1    0.00%     65.07MiB / 7.702GiB   0.83%     2.08MB / 2.08MB   0B / 0B     7
73f7f18c2b87   proof-of-training-quality-node3-1    0.00%     64.15MiB / 7.702GiB   0.81%     2.08MB / 2.07MB   0B / 0B     7
c1fba683b611   proof-of-training-quality-node2-1    0.00%     65.7MiB / 7.702GiB    0.83%     2.08MB / 2.08MB   0B / 0B     7
ea40d082c391   proof-of-training-quality-node1-1    0.00%     65.02MiB / 7.702GiB   0.82%     2.08MB / 2.09MB   0B / 0B     7
[2J[HCONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
778643d548d0   proof-of-training-quality-node10-1   0.00%     83.15MiB / 7.702GiB   1.05%     2.08MB / 2.08MB   0B / 0B     7
c95b581408cb   proof-of-training-quality-node9-1    0.00%     83.72MiB / 7.702GiB   1.06%     2.08MB / 2.07MB   0B / 0B     7
61c855158cf8   proof-of-training-quality-node8-1    0.01%     83.38MiB / 7.702GiB   1.06%     2.08MB / 2.08MB   0B / 0B     7
fb49d769878d   proof-of-training-quality-node7-1    0.01%     85.48MiB / 7.702GiB   1.08%     2.08MB / 2.07MB   0B / 0B     7
fab3efc9cdd1   proof-of-training-quality-node6-1    0.00%     85.33MiB / 7.702GiB   1.08%     2.07MB / 2.07MB   0B / 0B     7
a121a0f49f45   proof-of-training-quality-node5-1    0.00%     66.36MiB / 7.702GiB   0.84%     2.08MB / 2.07MB   0B / 0B     7
